2016-07-04 19:17:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
2016-07-04 19:17:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400232, latitude=23.124730, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:17:11 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400232, latitude=23.124730, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:17:11 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400232, latitude=23.124730, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:17:11 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400276, latitude=23.124736, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:17:11 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400289, latitude=23.124738, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:17:11 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400289, latitude=23.124738, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:24:41 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=10, ip=183.41.40.220
2016-07-04 19:24:41 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399490, latitude=23.125760, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:24:41 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 19:24:41 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399490, latitude=23.125760, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:24:41 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399491, latitude=23.125758, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:24:41 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399490, latitude=23.125760, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:24:42 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399491, latitude=23.125758, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:24:42 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399491, latitude=23.125759, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:27:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
2016-07-04 19:27:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400295, latitude=23.124735, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:27:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
2016-07-04 19:27:07 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400295, latitude=23.124735, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:27:08 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400295, latitude=23.124735, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:27:08 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400295, latitude=23.124735, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:27:08 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400295, latitude=23.124735, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:30:51 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 19:30:51 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=10, ip=183.41.40.220
2016-07-04 19:30:51 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399158, latitude=23.126328, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:30:51 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399158, latitude=23.126328, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:30:51 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399158, latitude=23.126328, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:30:51 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399156, latitude=23.126331, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:30:52 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399157, latitude=23.126330, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:30:52 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399157, latitude=23.126330, type=1, distance=0, ip=183.41.40.220
2016-07-04 19:33:21 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=112.96.100.91
2016-07-04 19:33:21 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399865, latitude=23.124113, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:33:21 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399865, latitude=23.124113, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:33:21 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399865, latitude=23.124113, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:33:21 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399865, latitude=23.124113, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:33:21 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399865, latitude=23.124113, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:33:21 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399865, latitude=23.124113, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:38:58 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=200, ip=112.96.100.91
2016-07-04 19:38:59 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400372, latitude=23.122765, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:38:59 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400372, latitude=23.122765, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:38:59 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400372, latitude=23.122765, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:38:59 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400371, latitude=23.122764, type=1, distance=0, ip=112.96.100.91
2016-07-04 19:38:59 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400371, latitude=23.122764, type=1, distance=0, ip=112.96.100.91
2016-07-04 20:42:52 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=200, ip=112.96.100.91
2016-07-04 20:42:52 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399521, latitude=23.124107, type=1, distance=0, ip=112.96.100.91
2016-07-04 20:42:52 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399521, latitude=23.124107, type=1, distance=0, ip=112.96.100.91
2016-07-04 20:42:52 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399521, latitude=23.124107, type=1, distance=0, ip=112.96.100.91
2016-07-04 20:42:52 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399522, latitude=23.124111, type=1, distance=0, ip=112.96.100.91
2016-07-04 20:42:52 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399521, latitude=23.124110, type=1, distance=0, ip=112.96.100.91
2016-07-04 21:03:32 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=10, ip=183.41.40.220
2016-07-04 21:03:32 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 21:03:32 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399218, latitude=23.126128, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:32 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399544, latitude=23.125670, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:32 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399218, latitude=23.126128, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:32 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399237, latitude=23.126099, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:32 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399255, latitude=23.126073, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:33 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399544, latitude=23.125670, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:03:37 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
2016-07-04 21:03:38 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
2016-07-04 21:03:38 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400113, latitude=23.124648, type=1, distance=0, ip=183.41.40.220
